Protein.Group,Protein.Names,Genes,First.Protein.Description,Bt1_DIA,Bt2_DIA,Bt3_DIA,STS1_DIA,STS2_DIA,STS3_DIA,Average Bt,Average ST,Fold Change,log2 Fold Change ST
Q7L2H7,EIF3M_HUMAN,EIF3M,Eukaryotic translation initiation factor 3 subunit M,4090000,3860000,3220000,3950000,3520000,3530000,3723333.33333333,3666666.66666667,0.984780662488809,-0.022125662071293
Q7L2J0,MEPCE_HUMAN,MEPCE,7SK snRNA methylphosphate capping enzyme,573643,553223,603751,610278,571491,562816,576872.333333333,581528.333333333,1.00807110989895,0.0115974109411244
Q7L4I2,RSRC2_HUMAN,RSRC2,Arginine/serine-rich coiled-coil protein 2,731224,711699,668873,728530,614507,646088,703932,663041.666666667,0.941911529333326,-0.0863365363084465
Q7L523,RRAGA_HUMAN,RRAGA,Ras-related GTP-binding protein A,2020000,2160000,2130000,2290000,1980000,2410000,2103333.33333333,2226666.66666667,1.05863708399366,0.0822080974915031
Q7L576,CYFP1_HUMAN,CYFIP1,Cytoplasmic FMR1-interacting protein 1,1050000,941902,1460000,1240000,1100000,1150000,1150634,1163333.33333333,1.01103681390723,0.0158355296587739
Q7L5D6,GET4_HUMAN,GET4,Golgi to ER traffic protein 4 homolog,597737,540398,454331,671584,535506,706835,530822,637975,1.20186239455034,0.265271726278572
Q7L5N1,CSN6_HUMAN,COPS6,COP9 signalosome complex subunit 6,1870000,2500000,2740000,2000000,2250000,2150000,2370000,2133333.33333333,0.90014064697609,-0.151777654732053
Q7L5Y1,ENOF1_HUMAN,ENOSF1,Mitochondrial enolase superfamily member 1,290713,261219,283094,125135,194774,276755,278342,198888,0.714545415352336,-0.484902385285847
Q7L5Y9,MAEA_HUMAN,MAEA,E3 ubiquitin-protein transferase MAEA,826350,723618,657540,889566,798533,635882,735836,774660.333333333,1.05276220969528,0.0741796076510859
Q7L8L6,FAKD5_HUMAN,FASTKD5,"FAST kinase domain-containing protein 5, mitochondrial",1100000,2310000,2690000,1830000,1830000,1830000,2033333.33333333,1830000,0.9,-0.15200309344505
Q7L9L4;Q9H8S9,MOB1A_HUMAN;MOB1B_HUMAN,MOB1A;MOB1B,MOB kinase activator 1B,1790000,1820000,2210000,1720000,1510000,1170000,1940000,1466666.66666667,0.756013745704467,-0.403515629383624
Q7LBC6,KDM3B_HUMAN,KDM3B,Lysine-specific demethylase 3B,328550,401895,445582,499288,379689,415923,392009,431633.333333333,1.10108016227519,0.138919505693321
Q7RTS9,DYM_HUMAN,DYM,Dymeclin,122817,265378,307182,277690,277690,277690,231792.333333333,277690,1.19801201362714,0.260642375500151
Q7RTV0,PHF5A_HUMAN,PHF5A,PHD finger-like domain-containing protein 5A,761047,827056,843984,843001,950040,733793,810695.666666667,842278,1.0389570767822,0.0551360523243047
Q7Z2K6,ERMP1_HUMAN,ERMP1,Endoplasmic reticulum metallopeptidase 1,96154.4,61302.5,114075,107661,107661,107661,90510.6333333333,107661,1.18948455043404,0.250336533505841
Q7Z2T5,TRM1L_HUMAN,TRMT1L,TRMT1-like protein,561223,558083,719676,657157,707102,553879,612994,639379.333333333,1.04304337943493,0.0607991597696916
Q7Z2W4,ZCCHV_HUMAN,ZC3HAV1,Zinc finger CCCH-type antiviral protein 1,999283,999767,930779,1000000,948321,869548,976609.666666667,939289.666666667,0.961786165677246,-0.0562119202357886
Q7Z2W9,RM21_HUMAN,MRPL21,Large ribosomal subunit protein bL21m,794109,803521,736152,580782,637108,616119,777927.333333333,611336.333333333,0.785852748885714,-0.347669085653091
Q7Z2Z2,EFL1_HUMAN,EFL1,Elongation factor-like GTPase 1,340437,383668,301900,336438,438987,369550,342001.666666667,381658.333333333,1.11595460061111,0.158278336481184
Q7Z392,TPC11_HUMAN,TRAPPC11,Trafficking protein particle complex subunit 11,228358,228358,228358,307027,190990,189702,228358,229239.666666667,1.00386089677903,0.00555937144944503
Q7Z3B4,NUP54_HUMAN,NUP54,Nucleoporin p54,615445,589201,611591,620038,818432,579107,605412.333333333,672525.666666667,1.11085557666758,0.15167126283921
Q7Z3C6,ATG9A_HUMAN,ATG9A,Autophagy-related protein 9A,1490000,1560000,1770000,1750000,2880000,1960000,1606666.66666667,2196666.66666667,1.36721991701245,0.45124531877809
Q7Z3J2,VP35L_HUMAN,VPS35L,VPS35 endosomal protein-sorting factor-like,604276,604276,617333,600431,600431,600431,608628.333333333,600431,0.986531462824877,-0.0195630322430424
Q7Z3T8,ZFY16_HUMAN,ZFYVE16,Zinc finger FYVE domain-containing protein 16,238985,208418,209936,255489,175458,210263,219113,213736.666666667,0.975463193268618,-0.0358406576149676
Q7Z3U7,MON2_HUMAN,MON2,Protein MON2 homolog,442637,466956,482665,466905,479765,503024,464086,483231.333333333,1.04125384806552,0.0583218272352689
Q7Z406,MYH14_HUMAN,MYH14,Myosin-14,1550000,1150000,1150000,1330000,1330000,1330000,1283333.33333333,1330000,1.03636363636364,0.0515303006400821
Q7Z417,NUFP2_HUMAN,NUFIP2,FMR1-interacting protein NUFIP2,826796,937821,916248,663094,750967,804206,893621.666666667,739422.333333333,0.827444500189305,-0.273265546697869
Q7Z434,MAVS_HUMAN,MAVS,Mitochondrial antiviral-signaling protein,478380,524601,676865,514213,530414,591216,559948.666666667,545281,0.973805336917789,-0.0382946876016104
Q7Z460,CLAP1_HUMAN,CLASP1,CLIP-associating protein 1,204209,116158,116158,1,1,1,145508.333333333,1,0.00000687245862207205,-17.1507422537862
Q7Z478,DHX29_HUMAN,DHX29,ATP-dependent RNA helicase DHX29,326071,276005,352634,247212,288358,306968,318236.666666667,280846,0.882506729792293,-0.180320814802754
Q7Z4G1,COMD6_HUMAN,COMMD6,COMM domain-containing protein 6,301348,377195,224021,293791,257955,312323,300854.666666667,288023,0.957349284926055,-0.0628827128150808
Q7Z4G4,TRM11_HUMAN,TRMT11,tRNA (guanine(10)-N2)-methyltransferase homolog,205750,201539,231439,233352,190493,100001,212909.333333333,174615.333333333,0.820139402061597,-0.286058944217746
Q7Z4H3,HDDC2_HUMAN,HDDC2,5'-deoxynucleotidase HDDC2,2020000,2140000,2020000,1990000,2240000,2150000,2060000,2126666.66666667,1.03236245954692,0.0459495858604946
Q7Z4H8,PLGT3_HUMAN,POGLUT3,Protein O-glucosyltransferase 3,419316,489857,524834,545243,475810,515960,478002.333333333,512337.666666667,1.07183089064419,0.100077300875383
Q7Z4Q2,HEAT3_HUMAN,HEATR3,HEAT repeat-containing protein 3,922663,750908,763099,929600,978368,858067,812223.333333333,922011.666666667,1.13517012972623,0.182908532686918
Q7Z4S6,KI21A_HUMAN,KIF21A,Kinesin-like protein KIF21A,416068,361806,292385,439041,422830,422830,356753,428233.666666667,1.20036458464727,0.263472659647407
Q7Z4V5,HDGR2_HUMAN,HDGFL2,Hepatoma-derived growth factor-related protein 2,2080000,1930000,1910000,2140000,2380000,2240000,1973333.33333333,2253333.33333333,1.14189189189189,0.191426070653235
Q7Z4W1,DCXR_HUMAN,DCXR,L-xylulose reductase,6010000,6040000,5900000,6340000,6650000,5600000,5983333.33333333,6196666.66666667,1.03565459610028,0.0505429262090682
Q7Z5G4,GOGA7_HUMAN,GOLGA7,Golgin subfamily A member 7,61417.9,61417.9,74744.3,73698.7,161941,73698.7,65860.0333333333,103112.8,1.56563540558994,0.646748286838375
Q7Z5L9,I2BP2_HUMAN,IRF2BP2,Interferon regulatory factor 2-binding protein 2,519567,496485,481726,492594,494306,553773,499259.333333333,513557.666666667,1.02863909070637,0.0407368856517502
Q7Z6J9,SEN54_HUMAN,TSEN54,tRNA-splicing endonuclease subunit Sen54,50678.2,50678.2,75820.1,47930.3,71118.2,63541.3,59058.8333333333,60863.2666666667,1.03055314897856,0.0434189112726114
Q7Z6K5,ARPIN_HUMAN,ARPIN,Arpin,258928,530281,539092,504642,612065,462890,442767,526532.333333333,1.18918603539409,0.249974426896716
Q7Z6M4,MTEF4_HUMAN,MTERF4,"Transcription termination factor 4, mitochondrial",34960.8,42631.6,48259.2,1,1,1,41950.5333333333,1,0.000023837599204142,-15.3564015318704
Q7Z6Z7,HUWE1_HUMAN,HUWE1,E3 ubiquitin-protein ligase HUWE1,2340000,2730000,2080000,1960000,2090000,1920000,2383333.33333333,1990000,0.834965034965035,-0.260212310400947
Q7Z739,YTHD3_HUMAN,YTHDF3,YTH domain-containing family protein 3,600623,470755,416656,349455,444629,373172,496011.333333333,389085.333333333,0.784428312793928,-0.350286486447773
Q7Z7F7,RM55_HUMAN,MRPL55,Large ribosomal subunit protein mL55,847103,902287,958778,978712,840041,716924,902722.666666667,845225.666666667,0.936307127179702,-0.0949462550574571
Q7Z7H5,TMED4_HUMAN,TMED4,Transmembrane emp24 domain-containing protein 4,1920000,1700000,1560000,2010000,1590000,1640000,1726666.66666667,1746666.66666667,1.01158301158301,0.0166147138508964
Q7Z7H8,RM10_HUMAN,MRPL10,Large ribosomal subunit protein uL10m,101566,101566,155529,105065,148496,58199.4,119553.666666667,103920.133333333,0.869234179350417,-0.202183190720372
Q7Z7L1,SLN11_HUMAN,SLFN11,Schlafen family member 11,1780000,2120000,2300000,2220000,2160000,1890000,2066666.66666667,2090000,1.01129032258065,0.0161972275278013
Q7Z7N9,T179B_HUMAN,TMEM179B,Transmembrane protein 179B,246652,291315,217317,289427,301120,244002,251761.333333333,278183,1.10494727810996,0.143977533938969
Q86SF2,GALT7_HUMAN,GALNT7,N-acetylgalactosaminyltransferase 7,237291,280256,295627,286407,289011,215001,271058,263473,0.972017059079607,-0.0409464612686672
Q86SX6,GLRX5_HUMAN,GLRX5,"Glutaredoxin-related protein 5, mitochondrial",957210,1340000,1070000,925577,1140000,1200000,1122403.33333333,1088525.66666667,0.969816851339833,-0.0442157729605083
Q86SZ2,TPC6B_HUMAN,TRAPPC6B,Trafficking protein particle complex subunit 6B,2700000,3450000,2700000,1,1,1,2950000,1,0.000000338983050847458,-21.4922835237987
Q86T03,PP4P1_HUMAN,PIP4P1,"Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",378773,373327,296896,407469,296335,279113,349665.333333333,327639,0.937007386110147,-0.093867674684349
Q86TB9,PATL1_HUMAN,PATL1,Protein PAT1 homolog 1,38740.4,38740.4,38740.4,24386.9,34485.3,24386.9,38740.4,27753.0333333333,0.716384790382478,-0.481193387201549
Q86TG7,PEG10_HUMAN,PEG10,Retrotransposon-derived protein PEG10,2060000,2050000,2250000,2250000,2230000,1920000,2120000,2133333.33333333,1.0062893081761,0.00904513960300699
Q86TI2,DPP9_HUMAN,DPP9,Dipeptidyl peptidase 9,278395,371102,205790,1,1,1,285095.666666667,1,0.0000035075945267495,-18.121086585526
Q86TP1,PRUN1_HUMAN,PRUNE1,Exopolyphosphatase PRUNE1,261066,192878,194666,149015,103232,168718,216203.333333333,140321.666666667,0.649026379488444,-0.623650977550883
Q86TS9,RM52_HUMAN,MRPL52,Large ribosomal subunit protein mL52,221316,296612,221316,160125,323271,160125,246414.666666667,214507,0.870512307167863,-0.200063400268273
Q86TU7,SETD3_HUMAN,SETD3,Actin-histidine N-methyltransferase,290362,373943,437807,295687,265938,288589,367370.666666667,283404.666666667,0.771440652129729,-0.374372922111445
Q86TX2,ACOT1_HUMAN,ACOT1,Acyl-coenzyme A thioesterase 1,4040000,2980000,3110000,3360000,2670000,4980000,3376666.66666667,3670000,1.08687068114511,0.120180294763231
Q86U28,ISCA2_HUMAN,ISCA2,"Iron-sulfur cluster assembly 2 homolog, mitochondrial",196136,178730,178730,241962,168368,168061,184532,192797,1.04478897968916,0.0632115847002277
Q86U42,PABP2_HUMAN,PABPN1,Polyadenylate-binding protein 2,3390000,3230000,2720000,2490000,3350000,4030000,3113333.33333333,3290000,1.05674518201285,0.0796275347467357
Q86U44,MTA70_HUMAN,METTL3,N6-adenosine-methyltransferase catalytic subunit,151111,152427,119918,138400,147288,143602,141152,143096.666666667,1.01377711025467,0.0197404952632621
Q86U90,YRDC_HUMAN,YRDC,Threonylcarbamoyl-AMP synthase,427777,383318,396314,308067,480976,506050,402469.666666667,431697.666666667,1.07262162200215,0.101141240742355
Q86UE4,LYRIC_HUMAN,MTDH,Protein LYRIC,2320000,2210000,2580000,1300000,765202,1630000,2370000,1231734,0.519718987341772,-0.944196327697165
Q86UK7,ZN598_HUMAN,ZNF598,E3 ubiquitin-protein ligase ZNF598,224946,207594,296976,184792,178858,175490,243172,179713.333333333,0.739037937481837,-0.43627966987712
Q86UL3,GPAT4_HUMAN,GPAT4,Glycerol-3-phosphate acyltransferase 4,935201,1250000,1250000,1180000,1190000,1060000,1145067,1143333.33333333,0.998485969234406,-0.00218593988527886
Q86UP2,KTN1_HUMAN,KTN1,Kinectin,903442,773290,855368,732791,771186,677365,844033.333333333,727114,0.861475455155799,-0.215118402592052
Q86V21,AACS_HUMAN,AACS,Acetoacetyl-CoA synthetase,490544,515958,490904,484697,577269,505942,499135.333333333,522636,1.04708275511117,0.0663754686970154
Q86V81,THOC4_HUMAN,ALYREF,THO complex subunit 4,13800000,15200000,11800000,14600000,14200000,13600000,13600000,14133333.3333333,1.03921568627451,0.0554951125917037
Q86V88,MGDP1_HUMAN,MDP1,Magnesium-dependent phosphatase 1,430075,414908,642672,401948,530637,556545,495885,496376.666666667,1.00099149332338,0.00142971384192382
Q86VM9,ZCH18_HUMAN,ZC3H18,Zinc finger CCCH domain-containing protein 18,270242,201727,256750,447583,184290,282486,242906.333333333,304786.333333333,1.25474840096114,0.327398107542406
Q86VN1,VPS36_HUMAN,VPS36,Vacuolar protein-sorting-associated protein 36,235576,133535,133535,186976,186976,186976,167548.666666667,186976,1.1159503905333,0.158272893724075
Q86VP6,CAND1_HUMAN,CAND1,Cullin-associated NEDD8-dissociated protein 1,5900000,5370000,6930000,6450000,5650000,5950000,6066666.66666667,6016666.66666667,0.991758241758242,-0.0119396133115252
Q86VR2,RETR3_HUMAN,RETREG3,Reticulophagy regulator 3,358298,372945,445819,387835,353939,421789,392354,387854.333333333,0.98853161515706,-0.0166409880113458
Q86VS8,HOOK3_HUMAN,HOOK3,Protein Hook homolog 3,446758,446758,446758,806379,806379,806379,446758,806379,1.80495704609654,0.851964504635514
Q86W42,THOC6_HUMAN,THOC6,THO complex subunit 6 homolog,509737,445095,516964,465248,592839,499143,490598.666666667,519076.666666667,1.0580474467929,0.0814043247279239
Q86W50,MET16_HUMAN,METTL16,RNA N6-adenosine-methyltransferase METTL16,185547,185547,193163,254064,254064,254064,188085.666666667,254064,1.35078873633823,0.433802054478215
Q86W56,PARG_HUMAN,PARG,Poly(ADP-ribose) glycohydrolase,161769,196968,241231,203424,257750,147247,199989.333333333,202807,1.01408908475119,0.0201843944353803
Q86WA6,BPHL_HUMAN,BPHL,Valacyclovir hydrolase,553619,293816,679875,638938,718687,537450,509103.333333333,631691.666666667,1.24079263541783,0.311262028561342
Q86WB0,ZC3C1_HUMAN,ZC3HC1,Zinc finger C3HC-type protein 1,193618,286185,274336,235336,287605,268032,251379.666666667,263657.666666667,1.04884245477293,0.0687979888900113
Q86WQ0,NR2CA_HUMAN,NR2C2AP,Nuclear receptor 2C2-associated protein,261022,376355,381061,318243,379448,348882,339479.333333333,348857.666666667,1.02762563847775,0.0393147899438944
Q86WR0,CCD25_HUMAN,CCDC25,Coiled-coil domain-containing protein 25,119922,27684.5,95851.2,108637,67079.1,67079.1,81152.5666666667,80931.7333333333,0.997278788060513,-0.00393123025485974
Q86X29,LSR_HUMAN,LSR,Lipolysis-stimulated lipoprotein receptor,683115,868191,683220,641167,690825,648077,744842,660023,0.886124842584065,-0.17441812625509
Q86X55,CARM1_HUMAN,CARM1,Histone-arginine methyltransferase CARM1,2230000,1060000,2620000,1090000,1080000,1560000,1970000,1243333.33333333,0.631133671742809,-0.663982499922295
Q86X76,NIT1_HUMAN,NIT1,Deaminated glutathione amidase,455726,437362,427046,277422,320865,539702,440044.666666667,379329.666666667,0.862025370151818,-0.214197765185978
Q86X83,COMD2_HUMAN,COMMD2,COMM domain-containing protein 2,306863,291631,223167,332781,273400,308375,273887,304852,1.11305757483926,0.154528220520622
Q86XL3,ANKL2_HUMAN,ANKLE2,Ankyrin repeat and LEM domain-containing protein 2,177946,136933,168812,153390,140305,190040,161230.333333333,161245,1.00009096716706,0.000131231911986876
Q86XP3,DDX42_HUMAN,DDX42,ATP-dependent RNA helicase DDX42,1370000,1230000,1160000,1280000,1490000,1360000,1253333.33333333,1376666.66666667,1.09840425531915,0.135409119741808
Q86Y37,CACL1_HUMAN,CACUL1,CDK2-associated and cullin domain-containing protein 1,101632,100454,100454,81572.8,81572.8,81572.8,100846.666666667,81572.8,0.808879487009982,-0.3060033198516
Q86Y56,DAAF5_HUMAN,DNAAF5,Dynein axonemal assembly factor 5,1340000,1270000,1260000,1240000,1330000,1150000,1290000,1240000,0.961240310077519,-0.0570309450363789
Q86Y82,STX12_HUMAN,STX12,Syntaxin-12,1290000,1390000,1060000,1210000,1070000,1250000,1246666.66666667,1176666.66666667,0.943850267379679,-0.0833700866164564
Q86YB8,ERO1B_HUMAN,ERO1B,ERO1-like protein beta,90118.8,110608,105989,92443.2,99526.9,80562.9,102238.6,90844.3333333333,0.888552203701277,-0.170471555765089
Q86YS7,C2CD5_HUMAN,C2CD5,C2 domain-containing protein 5,148894,148894,148894,229724,229724,229724,148894,229724,1.54286942388545,0.625615968918208
Q86YZ3,HORN_HUMAN,HRNR,Hornerin,58243.8,58243.8,122518,131909,131909,131909,79668.5333333333,131909,1.65572271109966,0.727461080555968
Q8IU81,I2BP1_HUMAN,IRF2BP1,Interferon regulatory factor 2-binding protein 1,248043,394012,432533,304650,431153,298710,358196,344837.666666667,0.962706637334495,-0.0548318579207967
Q8IUI8,CRLF3_HUMAN,CRLF3,Cytokine receptor-like factor 3,1070000,1500000,1450000,1560000,505767,693524,1340000,919763.666666667,0.6863907960199,-0.542897887366735
Q8IUR0,TPPC5_HUMAN,TRAPPC5,Trafficking protein particle complex subunit 5,493859,493859,493859,360423,360423,360423,493859,360423,0.729809520531164,-0.454408123557313
Q8IV08,PLD3_HUMAN,PLD3,5'-3' exonuclease PLD3,1850000,1880000,2080000,1870000,2000000,2120000,1936666.66666667,1996666.66666667,1.03098106712564,0.0440178393842568
Q8IVD9,NUDC3_HUMAN,NUDCD3,NudC domain-containing protein 3,109286,116665,115921,178389,115277,189653,113957.333333333,161106.333333333,1.41374257031872,0.499519442398997
Q8IVL6,P3H3_HUMAN,P3H3,Prolyl 3-hydroxylase 3,105519,259476,218263,204556,241084,243561,194419.333333333,229733.666666667,1.18164002894088,0.24079060441806
Q8IVS2,FABD_HUMAN,MCAT,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",420850,476230,457981,369297,511360,393159,451687,424605.333333333,0.940043289564086,-0.0892008995849671
Q8IWA0,WDR75_HUMAN,WDR75,WD repeat-containing protein 75,102502,168383,102502,129145,129145,129145,124462.333333333,129145,1.03762316309888,0.0532825906726493
Q8IWA4,MFN1_HUMAN,MFN1,Mitofusin-1,66012,98480.8,110570,70907.5,71114.4,101242,91687.6,81087.9666666667,0.884394036561832,-0.177238797742809
Q8IWB7,WDFY1_HUMAN,WDFY1,WD repeat and FYVE domain-containing protein 1,837455,694725,827821,710980,569970,566241,786667,615730.333333333,0.782707719191645,-0.353454421846039
Q8IWD4,CC117_HUMAN,CCDC117,Coiled-coil domain-containing protein 117,106575,115618,106803,112315,93055,107030,109665.333333333,104133.333333333,0.94955561769748,-0.0746755900087565
Q8IWJ2,GCC2_HUMAN,GCC2,GRIP and coiled-coil domain-containing protein 2,108527,96937.3,114291,99370.1,131667,138615,106585.1,123217.366666667,1.15604682705807,0.209199837108653
Q8IWS0,PHF6_HUMAN,PHF6,PHD finger protein 6,211062,215002,324671,225243,167497,442822,250245,278520.666666667,1.11299193457079,0.154443138055534
Q8IWT0,ARCH_HUMAN,ZBTB8OS,Protein archease,65574.3,68715.4,82277.1,189740,98912.4,19554.5,72188.9333333333,102735.633333333,1.42314934699132,0.509087067948673
Q8IWV7,UBR1_HUMAN,UBR1,E3 ubiquitin-protein ligase UBR1,107705,107705,107705,222717,222717,222717,107705,222717,2.06784271853674,1.04812645750184
Q8IWX8,CHERP_HUMAN,CHERP,Calcium homeostasis endoplasmic reticulum protein,1240000,1350000,1850000,1380000,1410000,1860000,1480000,1550000,1.0472972972973,0.0666710396452879
Q8IWZ3,ANKH1_HUMAN,ANKHD1,Ankyrin repeat and KH domain-containing protein 1,3720000,3230000,3870000,3870000,3600000,3170000,3606666.66666667,3546666.66666667,0.983364140480592,-0.0242023483256256
Q8IX12,CCAR1_HUMAN,CCAR1,Cell division cycle and apoptosis regulator protein 1,1110000,997980,905084,1130000,1130000,1100000,1004354.66666667,1120000,1.11514391994329,0.157229915696618
Q8IX18,DHX40_HUMAN,DHX40,Probable ATP-dependent RNA helicase DHX40,372948,354680,422899,411987,415315,619094,383509,482132,1.25715954514757,0.330167752691528
Q8IX90,SKA3_HUMAN,SKA3,Spindle and kinetochore-associated protein 3,36106.2,36106.2,49808.7,37958.6,37958.6,144953,40673.7,73623.4,1.81009841740486,0.856068140646529
Q8IXB1,DJC10_HUMAN,DNAJC10,DnaJ homolog subfamily C member 10,64233.1,79296.3,101048,77815.2,81974.6,76229.3,81525.8,78673.0333333333,0.965007805300081,-0.0513874834681167
Q8IXH7,NELFD_HUMAN,NELFCD,Negative elongation factor C/D,417571,378453,566340,506299,374867,374867,454121.333333333,418677.666666667,0.921951108514318,-0.117237848976965
Q8IXI1,MIRO2_HUMAN,RHOT2,Mitochondrial Rho GTPase 2,548471,637854,569994,637020,686231,451181,585439.666666667,591477.333333333,1.01031304677567,0.014802383129918
Q8IXJ6,SIR2_HUMAN,SIRT2,NAD-dependent protein deacetylase sirtuin-2,482140,489933,431210,448070,472088,452485,467761,457547.666666667,0.978165487645757,-0.0318495315413306
Q8IXM2,BAP18_HUMAN,BAP18,Chromatin complexes subunit BAP18,389849,226837,295262,299764,215807,270248,303982.666666667,261939.666666667,0.861692771956296,-0.214754512558442
Q8IXM3,RM41_HUMAN,MRPL41,Large ribosomal subunit protein mL41,668598,717602,902212,681266,577338,420255,762804,559619.666666667,0.733634939862228,-0.446865744987112
Q8IXT5,RB12B_HUMAN,RBM12B,RNA-binding protein 12B,240692,201396,248776,118853,118853,153012,230288,130239.333333333,0.565549804303018,-0.822274016283058
Q8IY67,RAVR1_HUMAN,RAVER1,Ribonucleoprotein PTB-binding 1,383827,409550,479993,327083,554305,444581,424456.666666667,441989.666666667,1.0413069257168,0.0583953663754157
Q8IY81,SPB1_HUMAN,FTSJ3,pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3,1430000,1310000,1220000,1330000,1150000,1120000,1320000,1200000,0.909090909090909,-0.137503523749935
Q8IYB3,SRRM1_HUMAN,SRRM1,Serine/arginine repetitive matrix protein 1,2080000,1660000,2300000,2200000,2210000,1650000,2013333.33333333,2020000,1.00331125827815,0.0047692441478722
Q8IYB5,SMAP1_HUMAN,SMAP1,Stromal membrane-associated protein 1,785113,631126,576295,766350,787283,836906,664178,796846.333333333,1.19974815988084,0.262731600315762
Q8IYB8,SUV3_HUMAN,SUPV3L1,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",140799,194780,230327,147437,111605,168596,188635.333333333,142546,0.755669669521086,-0.404172376698603
Q8IYD1,ERF3B_HUMAN,GSPT2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,2770000,2830000,2710000,3700000,2820000,3620000,2770000,3380000,1.22021660649819,0.287137270232996
Q8IYI6,EXOC8_HUMAN,EXOC8,Exocyst complex component 8,254688,331479,302684,344716,170775,387999,296283.666666667,301163.333333333,1.01646957701572,0.0235670358955089
Q8IYS1,P20D2_HUMAN,PM20D2,Xaa-Arg dipeptidase,784705,861826,929834,769154,896964,958311,858788.333333333,874809.666666667,1.01865574171362,0.0266665700149653
Q8IYS2,K2013_HUMAN,KIAA2013,Uncharacterized protein KIAA2013,1,1,1,206798,206798,327520,1,247038.666666667,247038.666666667,17.9143773455679
Q8IZ07,AN13A_HUMAN,ANKRD13A,Ankyrin repeat domain-containing protein 13A,207809,207809,207809,120326,117221,104495,207809,114014,0.548648037380479,-0.866047150687775
Q8IZ69,TRM2A_HUMAN,TRMT2A,tRNA (uracil-5-)-methyltransferase homolog A,414535,380179,362993,354102,366398,413355,385902.333333333,377951.666666667,0.979397204992282,-0.0300340160037704
Q8IZ73,RUSD2_HUMAN,RPUSD2,Pseudouridylate synthase RPUSD2,69648.2,76964.3,67872.4,221235,104126,165864,71494.9666666667,163741.666666667,2.29025446546587,1.19550790210832
Q8IZ81,ELMD2_HUMAN,ELMOD2,ELMO domain-containing protein 2,558262,516868,386673,654369,609051,591438,487267.666666667,618286,1.26888370047127,0.343559845032225
Q8IZ83,A16A1_HUMAN,ALDH16A1,Aldehyde dehydrogenase family 16 member A1,2900000,2850000,4240000,3290000,4550000,3630000,3330000,3823333.33333333,1.14814814814815,0.199308808223407
Q8IZL8,PELP1_HUMAN,PELP1,"Proline-, glutamic acid- and leucine-rich protein 1",657198,741429,726169,691956,680456,712386,708265.333333333,694932.666666667,0.98117560462275,-0.0274167308729229
Q8IZP0,ABI1_HUMAN,ABI1,Abl interactor 1,438434,631536,483112,492875,540805,806675,517694,613451.666666667,1.18496962813296,0.244850081989788
Q8IZV5,RDH10_HUMAN,RDH10,Retinol dehydrogenase 10,207034,207034,207034,226453,226453,247726,207034,233544,1.12804660104137,0.173826668536859
Q8N0X7,SPART_HUMAN,SPART,Spartin,683756,565394,571838,525362,535620,673223,606996,578068.333333333,0.952342903962025,-0.0704469659213146
Q8N0Z6,TTC5_HUMAN,TTC5,Tetratricopeptide repeat protein 5,276529,329404,279793,203113,217781,356483,295242,259125.666666667,0.877672101756073,-0.188246045248018
Q8N108,MIER1_HUMAN,MIER1,Mesoderm induction early response protein 1,166969,169222,150058,149017,184010,149017,162083,160681.333333333,0.991352167305228,-0.0125304443667247
Q8N122,RPTOR_HUMAN,RPTOR,Regulatory-associated protein of mTOR,340205,281456,312088,300832,252341,328897,311249.666666667,294023.333333333,0.944654291463766,-0.0821416420002968
Q8N163,CCAR2_HUMAN,CCAR2,Cell cycle and apoptosis regulator protein 2,3400000,3200000,3310000,3160000,3030000,2990000,3303333.33333333,3060000,0.926337033299697,-0.11039090377268
Q8N183,NDUF2_HUMAN,NDUFAF2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2,994834,807433,1070000,1030000,1090000,1010000,957422.333333333,1043333.33333333,1.08973156047122,0.123972791815981
Q8N1B4,VPS52_HUMAN,VPS52,Vacuolar protein sorting-associated protein 52 homolog,139138,166530,212102,160867,110807,189914,172590,153862.666666667,0.891492361473241,-0.165705658351603
Q8N1F7,NUP93_HUMAN,NUP93,Nuclear pore complex protein Nup93,1760000,1690000,1710000,1710000,1740000,1690000,1720000,1713333.33333333,0.996124031007752,-0.00560270622937602
Q8N1G2,CMTR1_HUMAN,CMTR1,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,908653,1070000,1110000,1010000,1050000,857118,1029551,972372.666666667,0.944462845130223,-0.0824340523242448
Q8N1G4,LRC47_HUMAN,LRRC47,Leucine-rich repeat-containing protein 47,2420000,2510000,2730000,2530000,2450000,2570000,2553333.33333333,2516666.66666667,0.985639686684073,-0.020867747712516
Q8N2G8,GHDC_HUMAN,GHDC,GH3 domain-containing protein,149245,111022,165509,85836.9,181817,85836.9,141925.333333333,117830.266666667,0.830227161700049,-0.268421962983242
Q8N2M8,CLASR_HUMAN,CLASRP,CLK4-associating serine/arginine rich protein,154567,113297,98918.8,117158,117158,117158,122260.933333333,117158,0.95826194685247,-0.0615080153680951
